paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
52503.7    	3.24093e+30	6649.26    	32366.5    	3611.92    	1.21121e+27	5749.27    	6553.22    	146613     	5840.42    	24882.7    	75796.9    	1.56929e+06	6.02458e+06	1.50254e+14	1999.44    	40439.4    	9162.03    	139914     	1.42114e+08
422316     	8.46649e+28	8193.67    	4912.94    	6457.36    	7.79301e+26	13860.8    	53341      	138961     	5184.52    	26244.1    	3286.75    	1.17573e+06	2.67301e+08	1.8587e+06 	6267.6     	75023.6    	3292.04    	121666     	2.36504e+07
3635.65    	170247     	1450.23    	69237.4    	6.96688e+06	2.28518e+24	12874.7    	1029.92    	4.67291e+07	1678.93    	15627      	6942.91    	15018.9    	59942.5    	137381     	5946.59    	4880.56    	15873.3    	2.09722e+08	1.81031e+08
46394      	39749.2    	9231.49    	34241.5    	8030.61    	7.82427e+26	4029.15    	1378.61    	2.3156e+06 	7501.86    	24605      	7512.63    	4.83415e+07	61474.6    	86922.4    	10251      	20327.3    	1120.71    	294920     	6.15133e+09
332957     	33905.9    	5434.68    	4131.52    	437902     	1.44385e+27	14541.4    	1172.77    	6.98804e+06	1515.65    	503862     	1334.07    	819775     	49878.6    	4.6623e+06 	51862.1    	28148.5    	83997.4    	120811     	1.62952e+08
35984.8    	7.26331e+27	9656.2     	21000.2    	1858.64    	1.20893e+27	15320      	5581.02    	243249     	909.64     	426723     	1703.06    	1.29309e+10	46843.8    	29339.2    	8486.6     	19345.4    	1425.71    	815873     	2.16134e+08
10975.7    	16889.9    	10086.7    	38555.2    	5637.95    	2.28518e+24	49778.5    	6945.31    	5.83234e+27	3825.71    	25003.2    	1046.62    	8107.01    	17372.4    	115889     	6675.66    	12756.2    	5128.8     	528812     	2.8679e+32 
7549.51    	10632.3    	11052.4    	3585.38    	5910.62    	6.0088e+25 	18275.6    	3.84497e+07	79894.5    	5203.51    	23183.7    	2199.28    	1.02117e+10	3.89327e+07	789556     	974.57     	1.35931e+07	3012.87    	331327     	1.87331e+08
76508.7    	65883.2    	11942.8    	4289.65    	395855     	105765     	4127.07    	5415.34    	99117.6    	2392.2     	116376     	50816.7    	1.23486e+10	304101     	1.77408e+07	2141.87    	194982     	6313.91    	1.8113e+06 	2.27666e+13
22878.4    	436123     	6869.16    	31361      	19753.5    	3.19715e+27	2737.01    	1896.03    	9.41041e+07	6140.16    	17442.1    	1522.21    	1.67436e+06	2.37672e+06	83966.5    	2382.82    	16605.9    	1628.19    	196957     	4.1544e+11 
4849.69    	12564.3    	1909.6     	4949.83    	11652.6    	2.26311e+26	7758.16    	829.324    	641850     	2114.78    	31038.9    	1702.57    	3.22601e+08	9.95869e+07	6135.42    	3392.68    	28754.4    	2087.91    	1.15658e+07	2.2759e+13 
