paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
261.757	266.154	287.826	297.659	282.482	315.521	255.701	277.71 	224.512	279.206	272.886	290.715	284.406	279.671	274.068	296.457	269.623	275.049	233.318	286.425
261.757	266.154	286.718	297.659	282.482	315.514	255.66 	277.71 	225.018	279.206	272.342	290.34 	284.406	279.671	274.068	296.457	269.623	274.783	232.846	286.425
261.757	266.154	286.435	297.659	282.458	315.266	255.66 	277.71 	225.018	279.206	271.804	290.34 	284.063	279.671	274.068	296.457	269.47 	274.783	232.549	286.425
261.6  	266.113	286.435	296.634	281.969	315.266	255.66 	277.71 	223.157	279.161	271.442	290.34 	284.063	279.448	274.025	296.457	269.623	274.783	232.549	286.425
261.6  	266.113	286.435	296.634	281.735	315.266	255.257	277.71 	223.207	278.755	269.759	289.717	284.063	279.448	273.904	296.457	269.623	274.718	232.48 	286.162
261.6  	260.337	286.434	296.634	279.101	315.266	254.961	277.627	222.556	278.755	267.626	289.717	284.063	279.448	273.69 	296.457	269.623	274.718	231.694	286.425
261.6  	260.337	286.137	296.057	279.101	315.179	254.961	277.71 	222.201	278.692	267.626	289.365	283.82 	279.423	273.457	296.457	269.623	274.718	231.342	286.425
261.501	260.337	285.858	296.057	279.101	315.179	254.846	277.71 	221.805	278.632	266.822	288.083	283.82 	279.423	273.457	296.457	268.811	273.881	231.327	286.425
261.4  	260.337	285.858	295.52 	279.101	314.793	253.752	277.623	221.805	278.632	266.822	287.912	283.82 	279.288	273.457	296.457	268.811	273.881	231.327	286.425
259.987	258.279	285.858	295.52 	279.101	315.12 	254.329	277.623	221.761	278.347	265.879	287.912	283.82 	279.288	273.388	296.455	268.811	273.932	231.298	286.425
259.987	258.279	285.858	295.028	279.101	315.12 	254.329	277.623	221.648	278.347	265.626	287.912	283.82 	279.254	273.193	296.455	268.811	273.932	231.007	286.425
259.987	258.073	285.571	295.028	278.712	315.12 	254.321	277.623	221.266	278.347	265.626	287.096	283.599	279.177	272.846	296.455	268.811	273.932	231.007	286.425
259.987	258.073	285.571	295.028	277.958	315.065	253.966	276.507	220.863	278.107	265.193	287.195	283.599	279.034	272.846	296.455	268.811	273.932	231.007	286.425
259.987	258.024	285.426	294.322	277.958	315.065	253.966	276.507	220.618	277.918	264.045	286.837	283.362	278.909	272.846	296.455	268.239	273.536	231.007	286.425
259.89 	257.434	285.426	293.253	277.958	314.896	253.541	276.507	220.618	277.918	263.453	286.837	283.599	278.383	272.846	296.455	268.239	273.357	231.007	286.425
259.53 	257.434	285.267	293.253	277.407	314.596	253.541	276.507	220.425	277.918	263.325	286.837	283.391	278.383	272.22 	296.455	268.239	273.357	231.007	286.425
259.298	257.288	284.969	293.108	277.373	314.413	253.247	276.507	220.406	277.7  	263.036	286.837	283.391	277.26 	272.22 	296.455	268.239	273.357	231.005	286.425
258.889	257.288	284.906	293.108	276.467	314.039	253.134	276.507	220.33 	277.677	262.104	286.837	283.391	275.799	272.22 	296.455	267.651	273.357	230.747	286.425
258.889	257.288	284.819	292.712	276.467	314.039	252.908	276.507	220.28 	277.228	262.777	286.567	283.391	275.799	272.11 	296.455	267.651	273.357	230.747	286.425
